metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
26 2 1087.5 13.20 19.0 18.4
26 2 1186.4 12.80 20.0 17.7
26 2 1285.3 12.40 21.0 17.0
26 2 1384.1 12.10 23.0 16.4
26 2 1483.0 11.85 24.0 15.8
26 2 1730.2 11.40 25.0 14.5
26 2 1977.3 10.10 22.0 13.4
26 2 2224.5 7.90 18.0 12.2
26 2 2471.7 6.19 16.0 10.9
26 2 2718.8 4.95 11.0 9.5
27 3 9.9 3.99 34.5 26.4
27 3 24.7 5.19 34.0 26.4
27 3 49.4 6.44 33.0 26.3
27 3 74.2 7.39 32.5 26.2
27 3 98.9 8.14 32.0 26.0
27 3 148.3 9.69 30.0 25.8
27 3 197.7 10.90 28.0 25.5
27 3 247.2 12.10 26.0 25.2
27 3 296.6 13.30 23.0 24.9
27 3 346.0 14.30 21.0 24.6
27 3 395.5 15.20 18.0 24.4
27 3 444.9 15.30 16.9 23.9
27 3 494.3 15.25 16.0 23.5
27 3 543.8 15.20 15.0 23.0
27 3 593.2 15.10 15.0 22.6
27 3 642.6 15.00 14.0 22.1
27 3 692.1 14.90 14.0 21.7
27 3 790.9 14.65 14.0 20.7
27 3 889.8 14.40 14.0 19.8
27 3 988.7 14.11 14.0 18.9
27 3 1087.5 13.90 14.0 18.0
27 3 1186.4 13.50 15.0 17.2
27 3 1285.3 13.00 16.0 16.5
27 3 1384.1 12.50 17.0 16.0
27 3 1483.0 12.00 18.0 15.5
27 3 1730.2 11.00 20.0 14.5
27 3 1977.3 9.50 18.0 13.6
27 3 2224.5 7.35 14.0 12.5
27 3 2471.7 5.75 12.0 11.2
27 3 2718.8 4.70 7.9 9.8
28 4 9.9 4.49 36.0 25.9
28 4 24.7 5.79 35.0 25.9
28 4 49.4 7.09 35.0 25.8
28 4 74.2 7.99 34.0 25.7
28 4 98.9 8.69 34.0 25.5
28 4 148.3 9.90 32.0 25.2
28 4 197.7 11.00 31.0 24.9
28 4 247.2 11.90 29.4 24.5
28 4 296.6 12.86 28.0 24.1
28 4 346.0 13.80 26.0 23.8
28 4 395.5 14.90 23.0 23.5
28 4 444.9 15.90 19.9 23.3
28 4 494.3 16.15 17.0 22.9
28 4 543.8 15.95 15.0 22.5
28 4 593.2 15.70 14.0 22.1
